setting,accuracy,balanced_accuracy,precision,recall,f1
Train RED -> Test RED (in-domain),0.79375,0.7949291573452648,0.8260869565217391,0.7777777777777778,0.8012048192771084
Train RED -> Test WHITE (cross-domain),0.61875,0.6236475710159921,0.7604790419161677,0.6076555023923444,0.675531914893617
Train WHITE -> Test WHITE (in-domain),0.8125,0.7761972498814604,0.8311111111111111,0.8947368421052632,0.8617511520737328
Train WHITE -> Test RED (cross-domain),0.571875,0.595961379959967,0.84,0.24561403508771928,0.38009049773755654
