setting,accuracy,balanced_accuracy,precision,recall,f1
Train RED -> Test RED (in-domain),0.746875,0.7502060520428588,0.8,0.7017543859649122,0.7476635514018691
Train RED -> Test WHITE (cross-domain),0.6,0.6642096642096642,0.8715596330275229,0.45454545454545453,0.5974842767295597
Train WHITE -> Test WHITE (in-domain),0.7125,0.7249881460407777,0.8461538461538461,0.6842105263157895,0.7566137566137566
Train WHITE -> Test RED (cross-domain),0.546875,0.5751599356332666,0.9333333333333333,0.16374269005847952,0.27860696517412936
