setting,accuracy,balanced_accuracy,precision,recall,f1
Train RED -> Test RED (in-domain),0.74375,0.7459868911652734,0.7870967741935484,0.7134502923976608,0.7484662576687117
Train RED -> Test WHITE (cross-domain),0.621875,0.649273675589465,0.8013698630136986,0.5598086124401914,0.6591549295774648
Train WHITE -> Test WHITE (in-domain),0.725,0.666968403810509,0.7552742616033755,0.8564593301435407,0.8026905829596412
Train WHITE -> Test RED (cross-domain),0.665625,0.6819537658463832,0.8636363636363636,0.4444444444444444,0.5868725868725869
