col_i,col_j,mi,mi_p,ji,ji_p,chi2,chi2_p,mi_q,ji_q,chi2_q,mi_sig,ji_sig,chi2_sig
0,1,0.052053092727806456,0.0007599848003039939,0.0,1.0,8.809322033898304,0.0029969537295714914,0.001139977200455991,1.0,0.003983292931708945,True,False,True
0,1.1,0.38493153160865534,1.999960000799984e-05,0.6493506493506493,1.999960000799984e-05,99.0551506849315,2.4556699432645452e-23,3.7499250014999705e-05,4.666573335199963e-05,1.4324741335709846e-22,True,True,True
0,0.1,0.7113615532618731,1.999960000799984e-05,0.9259259259259259,1.999960000799984e-05,178.37837837837836,1.0952033889649892e-40,3.7499250014999705e-05,4.666573335199963e-05,3.8332118613774625e-39,True,True,True
0,1.2,0.05471414581099764,0.0007999840003199936,0.0,1.0,9.28125,0.002315113882967708,0.0011830749300506948,1.0,0.003241159436154791,True,False,True
0,0.2,0.1940300194033553,1.999960000799984e-05,0.0078125,1.0,40.955772357723575,1.557134226324417e-10,3.7499250014999705e-05,1.0,3.987782774733263e-10,True,False,True
0,0.3,0.7386451437886531,1.999960000799984e-05,0.9444444444444444,1.999960000799984e-05,183.18367346938777,9.779757828080591e-42,3.7499250014999705e-05,4.666573335199963e-05,7.031959207271362e-40,True,True,True
0,0.4,0.5580944609310803,1.999960000799984e-05,0.819672131147541,1.999960000799984e-05,147.44783501306458,6.26373301824157e-34,3.7499250014999705e-05,4.666573335199963e-05,9.612061157914219e-33,True,True,True
0,1.3,0.4434945078080481,1.999960000799984e-05,0.6986301369863014,1.999960000799984e-05,113.43842075892857,1.7297062221902353e-26,3.7499250014999705e-05,4.666573335199963e-05,1.2972796666426766e-25,True,True,True
0,0.5,0.48341121014852356,1.999960000799984e-05,0.7619047619047619,1.999960000799984e-05,130.82670772676374,2.7019342644350153e-30,3.7499250014999705e-05,4.666573335199963e-05,2.8370309776567665e-29,True,True,True
0,0.6,0.22860747587223945,1.999960000799984e-05,0.5052631578947369,1.999960000799984e-05,57.93199154726318,2.7133822843668273e-14,3.7499250014999705e-05,4.666573335199963e-05,8.633489086621722e-14,True,True,True
0,0.7,0.04563097042131154,0.0011999760004799903,0.20967741935483872,0.0005399892002159956,14.205004035512511,0.0001639339830496223,0.0017259928774027258,0.0011339773204535907,0.00026895419094078663,True,True,True
